Date,IBOV,Dolar,IBOV_USD
2013-10-23,55440.0,2.169600009918213,25553.097228318096
2013-10-24,54877.0,2.186300039291382,25100.39748148502
2013-10-25,54154.0,2.2005999088287354,24608.744089616615
2013-10-28,55073.0,2.1844000816345215,25211.95657472715
2013-10-29,54539.0,2.177500009536743,25046.612978708097
2013-10-30,54173.0,2.181999921798706,24827.223621228695
2013-10-31,54256.0,2.1810998916625977,24875.5227614275
2013-11-01,54013.0,2.231800079345703,24201.5404963311
2013-11-04,54437.0,2.251699924468994,24175.956755355655
2013-11-05,53832.0,2.240799903869629,24023.564043821014
2013-11-06,53385.0,2.2772998809814453,23442.23544990163
2013-11-07,52741.0,2.2825000286102295,23106.68098090364
2013-11-08,52249.0,2.3029000759124756,22688.348724508785
2013-11-11,52624.0,2.309299945831299,22787.858326934
2013-11-12,51804.0,2.3278000354766846,22254.488878118616
2013-11-13,52230.0,2.330399990081787,22412.461475408327
2013-11-14,53452.0,2.3289999961853027,22950.622622391445
2013-11-18,54307.0,2.3159000873565674,23449.629928546492
2013-11-19,53033.0,2.2604000568389893,23461.77608673525
2013-11-21,52688.0,2.268699884414673,23223.87388563453
2013-11-22,52801.0,2.3020999431610107,22936.01550916986
2013-11-25,52264.0,2.2737998962402344,22985.311982122694
2013-11-26,51447.0,2.2808001041412354,22556.558072137923
2013-11-27,51861.0,2.293800115585327,22609.20628943565
2013-11-28,51847.0,2.3269999027252197,22280.619753907344
2013-11-29,52482.0,2.3148999214172363,22671.390462473766
2013-12-02,51245.0,2.3308000564575195,21986.012853408378
2013-12-03,50349.0,2.353300094604492,21395.06139290829
2013-12-04,50216.0,2.372999906539917,21161.39990634058
2013-12-05,50788.0,2.388000011444092,21268.00659824413
2013-12-06,50944.0,2.3561999797821045,21621.254747956995
2013-12-09,51165.0,2.3217999935150146,22036.781868769147
2013-12-10,50993.0,2.316999912261963,22008.20109234198
2013-12-11,50068.0,2.305999994277954,21712.05556124778
2013-12-12,50122.0,2.33870005607605,21431.56403053087
2013-12-13,50051.0,2.3320000171661377,21462.692809420438
2013-12-16,50280.0,2.325000047683716,21625.806008086543
2013-12-17,50090.0,2.3229000568389893,21563.56226025611
2013-12-18,50563.0,2.3164000511169434,21828.2675203789
2013-12-19,50819.0,2.328900098800659,21821.0304624792
2013-12-20,51186.0,2.3545000553131104,21739.64697282332
2013-12-23,51356.0,2.382699966430664,21553.699888170308
2013-12-26,51221.0,2.3545000553131104,21754.512124311008
2013-12-27,51267.0,2.352299928665161,21794.414638737006
2013-12-30,51507.0,2.3334999084472656,22072.85280515536
2014-01-02,50341.0,2.357100009918213,21357.176101215467
2014-01-03,50981.0,2.384700059890747,21378.36990801084
2014-01-06,50974.0,2.371500015258789,21494.41268059089
2014-01-07,50430.0,2.373699903488159,21245.31408788995
2014-01-08,50577.0,2.3687000274658203,21352.21826890016
2014-01-09,49322.0,2.3919999599456787,20619.565562668355
2014-01-10,49696.0,2.388000011444092,20810.720168274795
2014-01-13,49427.0,2.3534998893737793,21001.488133977167
2014-01-14,49703.0,2.356800079345703,21089.188020478425
2014-01-15,50105.0,2.351599931716919,21306.77047750125
2014-01-16,49696.0,2.3554999828338623,21097.85623526585
2014-01-17,49182.0,2.360599994659424,20834.533640289934
2014-01-20,48708.0,2.3475000858306885,20748.881030504475
2014-01-21,48542.0,2.3405001163482666,20740.01178677017
2014-01-22,49300.0,2.357800006866455,20909.32218866192
2014-01-23,48321.0,2.3696000576019287,20392.0487953151
2014-01-24,47787.0,2.390899896621704,19987.035035436707
2014-01-27,47701.0,2.393199920654297,19931.891016843518
2014-01-28,47841.0,2.4184000492095947,19782.08692794059
2014-01-29,47557.0,2.4233999252319336,19624.082473902246
2014-01-30,47244.0,2.4323999881744385,19422.792398324877
2014-01-31,47639.0,2.408799886703491,19777.068349664896
2014-02-03,46148.0,2.422300100326538,19051.314076971314
2014-02-04,46964.0,2.4372000694274902,19269.65315204183
2014-02-05,46624.0,2.406399965286255,19375.000279495853
2014-02-06,47738.0,2.3954999446868896,19928.199166057475
2014-02-07,48074.0,2.379499912261963,20203.404821436052
2014-02-10,47711.0,2.375200033187866,20087.15027507172
2014-02-11,48463.0,2.4061999320983887,20140.886612749837
2014-02-12,48217.0,2.401400089263916,20078.703342923425
2014-02-13,47813.0,2.4170000553131104,19781.960656101874
2014-02-14,48201.0,2.3910000324249268,20159.347279939208
2014-02-17,47576.0,2.3840999603271484,19955.539109807953
2014-02-18,46600.0,2.3817999362945557,19565.035370895654
2014-02-19,47151.0,2.3861000537872314,19760.69692683744
2014-02-20,47289.0,2.3889999389648438,19794.47518131389
2014-02-21,47380.0,2.3696000576019287,19994.935368101433
2014-02-24,47393.0,2.34060001373291,20248.226831552987
2014-02-25,46716.0,2.3362998962402344,19995.720615824717
2014-02-26,46599.0,2.3387999534606934,19924.320560656775
2014-02-27,47607.0,2.3480000495910645,20275.553234460705
2014-02-28,47094.0,2.319000005722046,20307.89128236193
2014-03-05,46589.0,2.3378000259399414,19928.565096695263
2014-03-06,47093.0,2.3173000812530518,20322.357203964293
2014-03-07,46244.0,2.319999933242798,19932.759194247945
2014-03-10,45533.0,2.335599899291992,19495.20549893959
